COUNTRY,INDICATOR,SECTOR,FREQUENCY,time,value,date
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2020-M10,592900000,2020-10-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2020-M11,592900000,2020-11-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2020-M12,592900700,2020-12-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M01,612900700,2021-01-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M02,628900700,2021-02-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M03,648900700,2021-03-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M04,669900700,2021-04-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M05,690900700,2021-05-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M06,712900700,2021-06-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M07,734900700,2021-07-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M08,756900700,2021-08-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M09,777900700,2021-09-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M10,592900000,2021-10-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M11,592900000,2021-11-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2021-M12,592900000,2021-12-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2022-M01,592900000,2022-01-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2022-M02,592900000,2022-02-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2022-M03,592900000,2022-03-01
AGO,IRFCLDT1_IRFCL56V_FTO,S1XS1311,M,2022-M04,592900000,2022-04-01
