COUNTRY,INDICATOR,SECTOR,FREQUENCY,time,value,date
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2020-M10,1113900000,2020-10-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2020-M11,1054200000,2020-11-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2020-M12,1123167024.24912,2020-12-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M01,1095459348.85276,2021-01-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M02,1028190153.00342,2021-02-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M03,1015134145.89295,2021-03-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M04,1048918252.78034,2021-04-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M05,1130513409.71914,2021-05-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M06,1050786052.59915,2021-06-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M07,1075634352.49856,2021-07-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M08,1075557274.3337,2021-08-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M09,1042478991.82595,2021-09-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M10,1057410000,2021-10-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M11,1052070000,2021-11-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2021-M12,1084530000,2021-12-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M01,1065440000,2022-01-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M02,1120190000,2022-02-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M03,1152870000,2022-03-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M04,1124690000,2022-04-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M05,1094480000,2022-05-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M06,1073120000,2022-06-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M07,1047030000,2022-07-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M08,1020840000,2022-08-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M09,984580000,2022-09-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M10,969720000,2022-10-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M11,1039283779.01979,2022-11-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2022-M12,1081462734.81007,2022-12-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2023-M01,1144079204.61613,2023-01-01
AGO,IRFCLDT1_IRFCL56_USD,S1XS1311,M,2023-M02,1084629901.79426,2023-02-01
