COUNTRY,INDICATOR,SECTOR,FREQUENCY,time,value,date
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2020-M10,15253800000,2020-10-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2020-M11,14655100000,2020-11-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2020-M12,14878529118.5065,2020-12-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M01,15389377822.531,2021-01-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M02,15310869032.5741,2021-02-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M03,14963778633.6359,2021-03-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M04,14589850219.7079,2021-04-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M05,14075415683.4156,2021-05-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M06,15097948473.6188,2021-06-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M07,15073034060.6355,2021-07-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M08,16720005020.5855,2021-08-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M09,16259780302.0787,2021-09-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M10,15958500000,2021-10-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M11,16055580000,2021-11-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2021-M12,15508100000,2021-12-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M01,13350330000,2022-01-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M02,14307610000,2022-02-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M03,14385750000,2022-03-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M04,15323050000,2022-04-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M05,15065330000,2022-05-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M06,14094310000,2022-06-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M07,13736330000,2022-07-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M08,13835950000,2022-08-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M09,13580290000,2022-09-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M10,13409600000,2022-10-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M11,13789601496.4976,2022-11-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2022-M12,14660603008.6975,2022-12-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2023-M01,14249898640.4224,2023-01-01
AGO,IRFCLDT1_IRFCL65_USD,S1XS1311,M,2023-M02,13950384544.3584,2023-02-01
