COUNTRY,INDICATOR,FREQUENCY,time,value,date
AFG,MMRT_RT_PT_A_PT,M,2015-M01,4,2015-01-01
AFG,MMRT_RT_PT_A_PT,M,2015-M02,4.3,2015-02-01
AFG,MMRT_RT_PT_A_PT,M,2015-M03,4.55,2015-03-01
AFG,MMRT_RT_PT_A_PT,M,2015-M04,3.62,2015-04-01
AFG,MMRT_RT_PT_A_PT,M,2015-M05,3.55,2015-05-01
AFG,MMRT_RT_PT_A_PT,M,2015-M06,0.74,2015-06-01
AFG,MMRT_RT_PT_A_PT,M,2015-M09,4.09,2015-09-01
AFG,MMRT_RT_PT_A_PT,M,2015-M10,4.1,2015-10-01
AFG,MMRT_RT_PT_A_PT,M,2015-M11,4.09863683888659,2015-11-01
AFG,MMRT_RT_PT_A_PT,M,2016-M01,4,2016-01-01
AFG,MMRT_RT_PT_A_PT,M,2016-M03,4.05,2016-03-01
AFG,MMRT_RT_PT_A_PT,M,2016-M04,4,2016-04-01
AFG,MMRT_RT_PT_A_PT,M,2016-M05,4,2016-05-01
AFG,MMRT_RT_PT_A_PT,M,2016-M07,4.1,2016-07-01
AFG,MMRT_RT_PT_A_PT,M,2016-M08,0,2016-08-01
AFG,MMRT_RT_PT_A_PT,M,2016-M09,0,2016-09-01
AFG,MMRT_RT_PT_A_PT,M,2016-M10,4,2016-10-01
AFG,MMRT_RT_PT_A_PT,M,2016-M11,4,2016-11-01
AFG,MMRT_RT_PT_A_PT,M,2016-M12,0,2016-12-01
AFG,MMRT_RT_PT_A_PT,M,2017-M01,0,2017-01-01
AFG,MMRT_RT_PT_A_PT,M,2017-M02,0,2017-02-01
AFG,MMRT_RT_PT_A_PT,M,2017-M03,0,2017-03-01
AFG,MMRT_RT_PT_A_PT,M,2017-M08,3.18,2017-08-01
AGO,MMRT_RT_PT_A_PT,M,2015-M01,6.16,2015-01-01
AGO,MMRT_RT_PT_A_PT,M,2015-M02,6.19,2015-02-01
AGO,MMRT_RT_PT_A_PT,M,2015-M03,6.21,2015-03-01
AGO,MMRT_RT_PT_A_PT,M,2015-M04,6.25,2015-04-01
AGO,MMRT_RT_PT_A_PT,M,2015-M05,6.25,2015-05-01
AGO,MMRT_RT_PT_A_PT,M,2015-M06,11.29,2015-06-01
AGO,MMRT_RT_PT_A_PT,M,2015-M07,12.77,2015-07-01
AGO,MMRT_RT_PT_A_PT,M,2015-M08,13.26,2015-08-01
AGO,MMRT_RT_PT_A_PT,M,2015-M09,11.81,2015-09-01
AGO,MMRT_RT_PT_A_PT,M,2015-M10,11.66,2015-10-01
AGO,MMRT_RT_PT_A_PT,M,2015-M11,11.53,2015-11-01
AGO,MMRT_RT_PT_A_PT,M,2015-M12,11.31,2015-12-01
AGO,MMRT_RT_PT_A_PT,M,2016-M01,11.3,2016-01-01
AGO,MMRT_RT_PT_A_PT,M,2016-M02,11.3,2016-02-01
AGO,MMRT_RT_PT_A_PT,M,2016-M03,11.01,2016-03-01
AGO,MMRT_RT_PT_A_PT,M,2016-M04,14,2016-04-01
AGO,MMRT_RT_PT_A_PT,M,2016-M05,13.92,2016-05-01
AGO,MMRT_RT_PT_A_PT,M,2016-M06,13.92,2016-06-01
AGO,MMRT_RT_PT_A_PT,M,2016-M07,13.92,2016-07-01
AGO,MMRT_RT_PT_A_PT,M,2016-M08,13.93,2016-08-01
AGO,MMRT_RT_PT_A_PT,M,2016-M09,14.47,2016-09-01
AGO,MMRT_RT_PT_A_PT,M,2016-M10,14.26,2016-10-01
AGO,MMRT_RT_PT_A_PT,M,2016-M11,22.65,2016-11-01
AGO,MMRT_RT_PT_A_PT,M,2016-M12,23.35,2016-12-01
AGO,MMRT_RT_PT_A_PT,M,2017-M01,23.66,2017-01-01
AGO,MMRT_RT_PT_A_PT,M,2017-M02,23.67,2017-02-01
AGO,MMRT_RT_PT_A_PT,M,2017-M03,23.67,2017-03-01
AGO,MMRT_RT_PT_A_PT,M,2017-M04,22.4,2017-04-01
AGO,MMRT_RT_PT_A_PT,M,2017-M05,22.4,2017-05-01
AGO,MMRT_RT_PT_A_PT,M,2017-M06,22.4,2017-06-01
AGO,MMRT_RT_PT_A_PT,M,2017-M07,22.35,2017-07-01
AGO,MMRT_RT_PT_A_PT,M,2017-M08,22,2017-08-01
AGO,MMRT_RT_PT_A_PT,M,2017-M09,19.7,2017-09-01
AGO,MMRT_RT_PT_A_PT,M,2017-M10,17.36,2017-10-01
AGO,MMRT_RT_PT_A_PT,M,2017-M11,16.14,2017-11-01
AGO,MMRT_RT_PT_A_PT,M,2017-M12,17.77,2017-12-01
AGO,MMRT_RT_PT_A_PT,M,2018-M01,19.45,2018-01-01
AGO,MMRT_RT_PT_A_PT,M,2018-M02,19.99,2018-02-01
AGO,MMRT_RT_PT_A_PT,M,2018-M03,20.12,2018-03-01
AGO,MMRT_RT_PT_A_PT,M,2018-M04,20.05,2018-04-01
AGO,MMRT_RT_PT_A_PT,M,2018-M05,21.02,2018-05-01
AGO,MMRT_RT_PT_A_PT,M,2018-M06,21.94,2018-06-01
AGO,MMRT_RT_PT_A_PT,M,2018-M07,16.38,2018-07-01
AGO,MMRT_RT_PT_A_PT,M,2018-M08,16.52,2018-08-01
AGO,MMRT_RT_PT_A_PT,M,2018-M09,16.44,2018-09-01
AGO,MMRT_RT_PT_A_PT,M,2018-M10,16.75,2018-10-01
AGO,MMRT_RT_PT_A_PT,M,2018-M11,16.75,2018-11-01
AGO,MMRT_RT_PT_A_PT,M,2018-M12,16.75,2018-12-01
AGO,MMRT_RT_PT_A_PT,M,2019-M01,15.75,2019-01-01
AGO,MMRT_RT_PT_A_PT,M,2019-M02,15.75,2019-02-01
AGO,MMRT_RT_PT_A_PT,M,2019-M03,15.76,2019-03-01
AGO,MMRT_RT_PT_A_PT,M,2019-M04,15.73,2019-04-01
AGO,MMRT_RT_PT_A_PT,M,2019-M05,15.74,2019-05-01
AGO,MMRT_RT_PT_A_PT,M,2019-M06,14.91,2019-06-01
AGO,MMRT_RT_PT_A_PT,M,2019-M07,13.8,2019-07-01
AGO,MMRT_RT_PT_A_PT,M,2019-M08,13.5,2019-08-01
AGO,MMRT_RT_PT_A_PT,M,2019-M09,14.39,2019-09-01
AGO,MMRT_RT_PT_A_PT,M,2019-M10,14.91,2019-10-01
AGO,MMRT_RT_PT_A_PT,M,2019-M11,26.47,2019-11-01
AGO,MMRT_RT_PT_A_PT,M,2019-M12,22.48,2019-12-01
AGO,MMRT_RT_PT_A_PT,M,2020-M01,19.98,2020-01-01
AGO,MMRT_RT_PT_A_PT,M,2020-M02,20.19,2020-02-01
AGO,MMRT_RT_PT_A_PT,M,2020-M03,17.2,2020-03-01
AGO,MMRT_RT_PT_A_PT,M,2020-M04,15.5,2020-04-01
AGO,MMRT_RT_PT_A_PT,M,2020-M05,15.37,2020-05-01
AGO,MMRT_RT_PT_A_PT,M,2020-M06,15.38,2020-06-01
AGO,MMRT_RT_PT_A_PT,M,2020-M07,15.4,2020-07-01
AGO,MMRT_RT_PT_A_PT,M,2020-M08,14.97,2020-08-01
AGO,MMRT_RT_PT_A_PT,M,2020-M09,12.5,2020-09-01
AGO,MMRT_RT_PT_A_PT,M,2020-M10,11.93,2020-10-01
AGO,MMRT_RT_PT_A_PT,M,2020-M11,11.36,2020-11-01
AGO,MMRT_RT_PT_A_PT,M,2020-M12,9.75,2020-12-01
AGO,MMRT_RT_PT_A_PT,M,2021-M01,5.58,2021-01-01
AGO,MMRT_RT_PT_A_PT,M,2021-M02,5.38,2021-02-01
AGO,MMRT_RT_PT_A_PT,M,2021-M03,5.38,2021-03-01
AGO,MMRT_RT_PT_A_PT,M,2021-M04,12.32,2021-04-01
AGO,MMRT_RT_PT_A_PT,M,2021-M05,13.69,2021-05-01
AGO,MMRT_RT_PT_A_PT,M,2021-M06,15.91,2021-06-01
AGO,MMRT_RT_PT_A_PT,M,2021-M07,16.83,2021-07-01
AGO,MMRT_RT_PT_A_PT,M,2021-M08,17.15,2021-08-01
AGO,MMRT_RT_PT_A_PT,M,2021-M09,17.42,2021-09-01
AGO,MMRT_RT_PT_A_PT,M,2021-M10,19,2021-10-01
AGO,MMRT_RT_PT_A_PT,M,2021-M11,18.5,2021-11-01
AGO,MMRT_RT_PT_A_PT,M,2021-M12,18.68,2021-12-01
AGO,MMRT_RT_PT_A_PT,M,2022-M01,18.68,2022-01-01
AGO,MMRT_RT_PT_A_PT,M,2022-M02,18.63,2022-02-01
AGO,MMRT_RT_PT_A_PT,M,2022-M03,17.12,2022-03-01
AGO,MMRT_RT_PT_A_PT,M,2022-M04,15.22,2022-04-01
AGO,MMRT_RT_PT_A_PT,M,2022-M05,11.08,2022-05-01
AGO,MMRT_RT_PT_A_PT,M,2022-M06,15.11,2022-06-01
AGO,MMRT_RT_PT_A_PT,M,2022-M07,16.5,2022-07-01
AGO,MMRT_RT_PT_A_PT,M,2022-M08,16.5,2022-08-01
AGO,MMRT_RT_PT_A_PT,M,2022-M09,11,2022-09-01
AGO,MMRT_RT_PT_A_PT,M,2022-M10,10,2022-10-01
AGO,MMRT_RT_PT_A_PT,M,2022-M11,10.5,2022-11-01
AGO,MMRT_RT_PT_A_PT,M,2022-M12,10,2022-12-01
AGO,MMRT_RT_PT_A_PT,M,2023-M01,9,2023-01-01
AGO,MMRT_RT_PT_A_PT,M,2023-M02,8.93,2023-02-01
AGO,MMRT_RT_PT_A_PT,M,2023-M03,8.7,2023-03-01
AGO,MMRT_RT_PT_A_PT,M,2023-M04,8.7,2023-04-01
AGO,MMRT_RT_PT_A_PT,M,2023-M05,11.67,2023-05-01
AGO,MMRT_RT_PT_A_PT,M,2023-M06,16.59,2023-06-01
AGO,MMRT_RT_PT_A_PT,M,2023-M07,16.37,2023-07-01
AGO,MMRT_RT_PT_A_PT,M,2023-M08,9.39,2023-08-01
AGO,MMRT_RT_PT_A_PT,M,2023-M09,6.96,2023-09-01
AGO,MMRT_RT_PT_A_PT,M,2023-M10,5,2023-10-01
