iso3,gdp_b
SDN,39.718
AFG,19.662
ALB,30.279
DZA,285.724
AND,4.491
AGO,141.728
ATG,2.273
ARG,681.485
ARM,29.243
ABW,4.521
AUS,1839.961
AUT,579.928
AZE,75.938
BHR,47.538
BGD,457.904
BRB,8.017
BLR,92.766
BEL,724.917
BLZ,3.327
BEN,24.382
BTN,3.474
BOL,64.25
BIH,32.962
BWA,19.533
BRA,2279.918
BRN,15.942
BGR,131.024
BFA,27.14
BDI,6.918
CPV,3.081
KHM,49.288
CMR,59.282
CAN,2319.9
CAF,3.192
TCD,22.092
CHL,355.346
CHN,19626.247
COL,457.41
COM,1.609
COD,92.833
CRI,102.902
CIV,98.885
HRV,106.055
CYP,41.019
CZE,389.02
TLS,2.064
DNK,461.718
DJI,4.378
DMA,0.744
DOM,127.895
ECU,130.321
EGY,364.64
SLV,37.268
GNQ,12.484
EST,47.004
SWZ,5.166
ETH,109.109
FJI,6.041
FIN,316.86
FRA,3368.925
GAB,21.624
GEO,38.216
DEU,5048.059
GHA,114.708
GRC,280.476
GRD,1.42
GTM,121.113
GIN,27.215
GNB,2.648
GUY,27.097
HTI,32.102
HND,39.694
HKG,427.31
HUN,246.891
ISL,38.583
IND,3916.312
IDN,1445.642
IRN,371.196
IRQ,264.167
IRL,718.14
ISR,610.778
ITA,2550.111
JAM,22.313
JPN,4435.163
JOR,61.692
KAZ,302.746
KEN,136.455
KIR,0.349
KOR,1872.375
UVK,12.449
KWT,157.835
KGZ,21.567
LAO,17.822
LVA,48.591
LBN,34.497
LSO,2.854
LBR,5.216
LBY,44.732
LTU,94.927
LUX,101.1
MAC,52.061
MDG,19.556
MWI,15.047
MYS,472.193
MDV,7.665
MLI,30.05
MLT,27.756
MHL,0.308
MRT,12.289
MUS,16.126
MEX,1832.641
FSM,0.502
MDA,20.342
MNG,25.37
MNE,9.228
MAR,182.587
MOZ,22.338
MMR,82.4
NAM,14.826
NRU,0.176
NPL,44.81
NLD,1332.24
NZL,258.832
NIC,22.237
NER,21.836
NGA,290.491
MKD,19.142
NOR,530.756
OMN,106.127
PAK,407.786
PLW,0.345
PAN,90.463
PNG,32.491
PRY,49.358
PER,341.025
PHL,487.161
POL,1035.586
PRT,346.412
PRI,126.525
QAT,221.229
COG,15.592
ROU,427.941
RUS,2587.938
RWA,15.973
WSM,1.288
SMR,2.251
STP,0.981
SAU,1276.943
SEN,37.116
SRB,99.953
SYC,2.318
SLE,7.71
SGP,603.87
SVK,154.442
SVN,79.603
SLB,1.704
SOM,12.956
ZAF,427.141
SSD,5.733
ESP,1903.826
KNA,1.082
LCA,2.651
VCT,1.176
SUR,4.664
SWE,668.999
CHE,1043.544
TWN,920.05
TJK,17.542
TZA,87.344
THA,577.01
BHS,16.508
GMB,2.584
TGO,11.899
TON,0.68
TTO,25.932
TUN,57.589
TUR,1597.301
TKM,77.398
TUV,0.058
UGA,66.014
UKR,212.927
ARE,571.643
GBR,4003.022
USA,30767.075
URY,85.575
UZB,147.069
VUT,1.316
VEN,99.661
VNM,494.046
YEM,7.897
ZMB,28.88
ZWE,53.474
LIE,8.991
ADVEC,69386.689
AFQ,3122.841
SSQ,2187.568
AS5,3585.877
APQ,40970.251
AZQ,2098.793
CBQ,153.827
CMQ,541.572
CAQ,2326.682
EAQ,27306.514
EEQ,5866.623
DA,27879.612
EDE,6425.707
OEMDC,48788.796
EURO,17997.892
EUQ,29968.748
EU,21231.574
WE,7072.389
MAE,52492.254
MEQ,3748.901
MECA,5279.905
NAQ,935.273
NMQ,35046.141
OAE,9860.112
PIQ,43.869
SMQ,4544.349
SAQ,4946.955
SEQ,4247.438
SSA,2131.184
WEQ,24102.125
WHQ,40285.888
WEOWORLD,118175.485
